Sensor: stk_stk3a5x Ambient Light Sensor Non-wakeup
Vendor: sensortek
TimestampLight [ns]; Light [lux]
7383879632316;2334.0000;
7383946306430;2360.0000;
7384079628566;2434.0000;
7384212961274;2522.0000;
7384279604712;2551.0000;
7384412960753;2534.0000;
7384479605753;2513.0000;
7384612960128;2526.0000;
7384679602003;2557.0000;
7384812959816;2441.0000;
7384879603149;2372.0000;
7385012932420;2535.0000;
7385079599295;2554.0000;
7385212950337;2516.0000;
7385279599816;2222.0000;
7385412936587;2338.0000;
7385479595545;2556.0000;
7385612950649;2586.0000;
7385746263774;2589.0000;
7385812949503;2555.0000;
7385946277003;2533.0000;
7386012979399;2375.0000;
7386146254295;2240.0000;
7386212942316;2220.0000;
7386346278983;2224.0000;
7386412920441;2214.0000;
7386546274503;2210.0000;
7386612941587;2229.0000;
7386746271483;2226.0000;
7386812913670;2222.0000;
7386946272003;2139.0000;
7387012938878;2136.0000;
7387146243983;2242.0000;
7387279574972;2332.0000;
7387346266170;2351.0000;
7387479572628;2368.0000;
7387546240233;2357.0000;
7387679570805;2378.0000;
7387746262316;2470.0000;
7387879570962;2403.0000;
7387946260337;2376.0000;
7388079565649;2374.0000;
7388146258253;2352.0000;
7388279565024;2386.0000;
7388346252108;2386.0000;
7388479563566;2355.0000;
7388612905858;2373.0000;
7388679561483;2379.0000;
7388812916378;2356.0000;
7388879561170;2345.0000;
7389012912316;2406.0000;
7389079556066;2525.0000;
7389212911483;2704.0000;
7389279556795;2886.0000;
7389412912889;2765.0000;
7389479569503;2637.0000;
7389612885805;2646.0000;
7389679550233;2636.0000;
7389812912003;2656.0000;
7389879550545;2665.0000;
7390012883253;2749.0000;
7390146242108;2948.0000;
7390212900337;3137.0000;
7390346210649;3348.0000;
7390412881587;3259.0000;
7390546236274;3168.0000;
7390612897628;3208.0000;
7390746208253;3305.0000;
7390812898878;3391.0000;
7390946229816;3383.0000;
7391012910962;3279.0000;
7391146229712;3188.0000;
7391212896899;3168.0000;
7391346227055;3182.0000;
7391412866274;3214.0000;
7391546223774;3244.0000;
7391679529399;3261.0000;
7391746198253;3271.0000;
7391879532316;3275.0000;
7391946214816;3277.0000;
7392079525233;3263.0000;
7392146194399;3217.0000;
7392279523670;3191.0000;
7392346215389;3221.0000;
7392479523045;3306.0000;
7392546188983;3418.0000;
7392679520024;3557.0000;
7392746213983;3674.0000;
7392879518253;3708.0000;
7393012876378;3711.0000;
7393079514816;3702.0000;
7393212849139;3684.0000;
7393279514816;3690.0000;
7393412870753;3693.0000;
7393479512733;3667.0000;
7393612846170;3601.0000;
7393679509399;3564.0000;
7393812867941;3541.0000;
7393879507837;3490.0000;
7394012864555;3476.0000;
7394079505441;3468.0000;
7394212861274;3443.0000;
7394279503253;3454.0000;
7394412859712;3456.0000;
7394546195858;3372.0000;
7394612835128;3276.0000;
7394746191274;3425.0000;
7394812856795;3533.0000;
7394946164555;3377.0000;
7395012838305;3351.0000;
7395146184608;3402.0000;
7395212852889;3539.0000;
7395346159972;3658.0000;
7395412850389;3653.0000;
7395546188358;3444.0000;
7395612848305;3244.0000;
7395746157316;3242.0000;
7395812846899;3275.0000;
7395946181483;3548.0000;
7396079488410;3747.0000;
7396146168045;3827.0000;
7396279482524;3717.0000;
7396346175337;3652.0000;
7396479481483;2734.0000;
7396546176378;3255.0000;
7396679478670;3151.0000;
7396746146639;3035.0000;
7396879476587;2934.0000;
7396946166899;2739.0000;
7397079475233;2778.0000;
7397146144295;2633.0000;
7397279474191;2343.0000;
7397412833722;2293.0000;
7397479470545;2326.0000;
7397612805962;2581.0000;
7397679469295;2768.0000;
7397812802108;2630.0000;
7397879465337;2338.0000;
7398012831274;2435.0000;
7398079465128;2171.0000;
7398212797316;1215.0000;
7398279462733;867.0000;
7398412822212;689.0000;
7398479461170;655.0000;
7398612822316;721.0000;
7398679459608;919.0000;
7398812815805;1205.0000;
7398946123462;1165.0000;
7399012818045;1180.0000;
7399146148983;1079.0000;
7399212797108;1069.0000;
7399346142420;1214.0000;
