Sensor: mmc5603x Magnetometer Non-wakeup
Vendor: memsic
TimestampMag [ns]; MagX [uT]; MagY [uT]; MagZ [uT]
7384007840962;24.7918;27.1698;4.8238;
7384017840962;24.7918;27.1698;4.8238;
7384029223253;37.0288;26.1724;8.9730;
7384039223253;36.9283;26.0898;9.0763;
7384049223253;37.2250;26.1851;9.1674;
7384059223253;37.1309;26.2558;9.1585;
7384069223253;37.5147;26.2018;8.5926;
7384079223253;37.3218;26.2659;8.3903;
7384089223253;37.0415;26.4792;8.7486;
7384099223253;37.4332;26.5793;8.3593;
7384109223253;37.4160;26.1952;8.3992;
7384119223253;37.8164;26.5250;7.6972;
7384129223253;36.7376;26.1550;9.2590;
7384139223253;36.6519;26.3801;9.5230;
7384149223253;37.0151;25.8652;9.0049;
7384159223253;36.9201;25.8604;9.4853;
7384169223253;37.9214;26.6849;7.7785;
7384179223253;36.9404;26.3963;8.7557;
7384189223253;37.2366;26.4913;8.7505;
7384199223253;38.6895;26.5771;6.7430;
7384209223253;39.2554;26.2282;6.3071;
7384219223253;38.8755;26.3593;6.9612;
7384229223253;38.1857;26.0882;7.6525;
7384239223253;38.0950;26.2357;7.6356;
7384249223253;37.9895;26.0755;7.4581;
7384259223253;37.4034;25.8885;8.6236;
7384269223253;36.8323;26.0845;9.3642;
7384279223253;37.0291;26.0974;9.6548;
7384289223253;37.3342;26.4974;8.7514;
7384299223253;38.4907;26.4129;7.3346;
7384309223253;38.1881;26.1645;7.4520;
7384319223253;36.9381;26.3200;8.9562;
7384329223253;38.4896;26.4123;7.1421;
7384339223253;37.7194;26.5191;7.7925;
7384349223253;38.2021;26.3967;8.1019;
7384359223253;37.2261;26.3359;8.0926;
7384369223253;38.2920;26.3239;7.3407;
7384379223253;38.8710;26.2820;6.7767;
7384389223253;38.1069;26.4669;7.9005;
7384399223253;38.1857;26.0882;7.6525;
7384409223253;38.2783;26.0167;7.3726;
7384419223253;37.8106;26.3719;7.9057;
7384429223253;38.6745;26.1941;7.1678;
7384439223253;37.8096;26.3713;7.7131;
7384449223253;37.9984;26.2301;7.8272;
