Sensor: bmi160 Accelerometer Non-wakeup
Vendor: BOSCH
TimestampAcc [ns]; AccX [m/s^2]; AccY [m/s^2]; AccZ [m/s^2]
687906693116279;-9.4789;1.1512;-2.1984;
687906698163518;-9.5557;1.1656;-2.1721;
687906703237997;-9.5366;1.1752;-2.1529;
687906708285237;-9.5291;1.1704;-2.1769;
687906713340341;-9.5172;1.1680;-2.1505;
687906718387320;-9.5004;1.1847;-2.2199;
687906723442425;-9.5004;1.1967;-2.1673;
687906728517425;-9.5100;1.1967;-2.1673;
687906733572529;-9.5366;1.1991;-2.1529;
687906738616800;-9.5315;1.1847;-2.1410;
687906743671904;-9.4956;1.2182;-2.1218;
687906748718779;-9.5315;1.2111;-2.1338;
687906753760758;-9.5366;1.2278;-2.1745;
687906758806591;-9.5148;1.2230;-2.1482;
687906763888466;-9.5243;1.1991;-2.1505;
687906768939247;-9.4980;1.2063;-2.1338;
687906773998466;-9.5028;1.2302;-2.1170;
687906779046956;-9.5414;1.2063;-2.1458;
687906784091070;-9.5390;1.1967;-2.1553;
687906789159091;-9.4956;1.2135;-2.1553;
687906794191487;-9.5243;1.1895;-2.1960;
687906799249039;-9.4908;1.1847;-2.1936;
687906804315966;-9.4765;1.1919;-2.1936;
687906809382216;-9.5100;1.1800;-2.2534;
687906814440133;-9.5195;1.2015;-2.2128;
687906819475654;-9.5172;1.2111;-2.1960;
687906824521747;-9.4980;1.2135;-2.1577;
687906829584612;-9.4908;1.2063;-2.1697;
687906834658987;-9.4956;1.2159;-2.1697;
687906839682425;-9.5172;1.2159;-2.1242;
687906844767320;-9.5195;1.2470;-2.1147;
687906849801643;-9.5438;1.2517;-2.1577;
687906854848987;-9.5366;1.2326;-2.1577;
687906859910602;-9.4789;1.2302;-2.1123;
687906864954508;-9.5148;1.2350;-2.1362;
687906870015341;-9.5438;1.2302;-2.1697;
687906875078570;-9.5124;1.2398;-2.1960;
687906880125393;-9.4956;1.2784;-2.1984;
687906885178987;-9.5100;1.2637;-2.1458;
687906890234508;-9.4813;1.2685;-2.1170;
687906895288258;-9.5100;1.2589;-2.1434;
687906900340237;-9.5124;1.2350;-2.1577;
687906905395133;-9.5052;1.2039;-2.1099;
687906910452060;-9.5028;1.2182;-2.1482;
687906915500081;-9.5052;1.2350;-2.1793;
