Sensor: bosch_bmp380 Pressure Sensor Non-wakeup
Vendor: Bosch
TimestampPres [ns]; Pres [mBar]
689717811525737;856.7888;
689717851492195;856.7863;
689717891483549;856.7875;
689717931491674;856.7825;
689717971514070;856.7775;
689718011512195;856.7800;
689718051513758;856.7725;
689718091511935;856.7687;
689718131514591;856.7687;
689718171515841;856.7650;
689718211490633;856.7600;
689718251539904;856.7625;
689718291491466;856.7625;
689718331501674;856.7625;
689718371491049;856.7637;
689718411494487;856.7612;
689718451515060;856.7662;
689718491519227;856.7675;
689718531515633;856.7687;
689718571519487;856.7687;
689718611498237;856.7612;
689718651515841;856.7600;
689718691490320;856.7650;
689718731514591;856.7637;
689718771491466;856.7637;
689718811492977;856.7612;
689718851491154;856.7662;
689718891513758;856.7650;
689718931514591;856.7662;
689718971518966;856.7637;
689719011491779;856.7612;
689719051510424;856.7600;
689719091515841;856.7537;
689719131512977;856.7575;
689719171530424;856.7562;
689719211491049;856.7562;
689719251491674;856.7537;
689719291493445;856.7562;
689719331501414;856.7575;
689719371514799;856.7550;
689719411516154;856.7537;
689719451509174;856.7575;
689719491512508;856.7587;
689719531513237;856.7575;
689719571512508;856.7550;
689719611490633;856.7662;
689719651491154;856.7662;
689719691491674;856.7700;
689719731490529;856.7625;
689719771491049;856.7637;
689719811499799;856.7662;
689719851515841;856.7637;
689719891514279;856.7637;
689719931513237;856.7612;
689719971516154;856.7637;
689720011513549;856.7625;
689720051511987;856.7637;
689720091514799;856.7562;
689720131495320;856.7500;
689720171501779;856.7525;
689720211491258;856.7487;
689720251491258;856.7600;
689720291513758;856.7600;
689720331516362;856.7650;
689720371515060;856.7575;
689720411514070;856.7625;
689720451515633;856.7637;
689720491514591;856.7725;
689720531512977;856.7712;
689720571491310;856.7725;
689720611501310;856.7762;
689720651492508;856.7675;
689720691492404;856.7587;
689720731500216;856.7637;
689720771515633;856.7637;
689720811514799;856.7637;
689720851513237;856.7637;
689720891516154;856.7700;
689720931512977;856.7650;
689720971516883;856.7650;
689721011490945;856.7637;
689721051492143;856.7612;
689721091491362;856.7637;
689721131491570;856.7662;
689721171493758;856.7700;
689721211514279;856.7687;
689721251514799;856.7675;
689721291520008;856.7762;
689721331516674;856.7775;
689721371517716;856.7725;
689721411514591;856.7813;
689721451498810;856.7775;
689721491540633;856.7800;
689721531491466;856.7800;
689721571492195;856.7775;
689721611492924;856.7762;
689721651505633;856.7800;
689721691514591;856.7725;
689721731491883;856.7687;
689721771514279;856.7737;
689721811542716;856.7737;
689721851514799;856.7662;
689721891494383;856.7637;
689721931535424;856.7612;
689721971491674;856.7600;
689722011493237;856.7687;
689722051492195;856.7737;
689722091491987;856.7687;
689722131516362;856.7687;
689722171519227;856.7700;
689722211516154;856.7725;
689722251516674;856.7737;
689722291518237;856.7725;
689722331516362;856.7725;
689722371516154;856.7762;
689722411514591;856.7725;
689722451492508;856.7750;
689722491494174;856.7825;
689722531492404;856.7813;
689722571500477;856.7800;
689722611514279;856.7762;
689722651521883;856.7800;
689722691513549;856.7863;
689722731518237;856.7875;
689722771513237;856.7925;
689722811490841;856.7950;
689722851513810;856.7888;
689722891490424;856.7900;
689722931492299;856.7875;
689722971492091;856.7813;
689723011496362;856.7850;
689723051520008;856.7875;
689723091517716;856.7925;
689723131516362;856.7950;
689723171490841;856.7900;
689723211517143;856.7925;
689723251511674;856.7888;
689723291514279;856.7913;
689723331515060;856.7875;
689723371490424;856.7875;
689723411495424;856.7950;
689723451491779;856.8000;
689723491492924;856.8000;
689723531517143;856.7975;
689723571516362;856.7900;
689723611512508;856.7962;
689723651519487;856.7950;
689723691514279;856.7937;
689723731491987;856.7937;
689723771527091;856.7925;
689723811486258;856.7987;
689723851491883;856.7962;
689723891502977;856.7813;
689723931500477;856.8175;
689723971512716;856.7737;
689724011514799;856.7863;
689724051516674;856.7900;
689724091512195;856.7875;
689724131517143;856.7813;
689724171513549;856.8062;
689724211518237;856.7512;
689724251512195;856.7950;
689724291500841;856.7850;
689724331490737;856.7950;
689724371491258;856.7962;
689724411516570;856.7900;
689724451516154;856.8000;
689724491515060;856.8000;
689724531491310;856.8100;
689724571516883;856.8100;
689724611515060;856.8100;
689724651508133;856.8050;
689724691543966;856.7962;
689724731494487;856.7950;
689724771492560;856.7863;
689724811492299;856.7937;
689724851499383;856.8062;
689724891494904;856.8100;
689724931534904;856.8075;
689724971518966;856.8137;
689725011512977;856.8150;
689725051516883;856.8250;
689725091535424;856.8262;
689725131518758;856.8187;
689725171490477;856.8187;
689725211501049;856.8400;
689725251491987;856.8175;
689725291491154;856.8362;
689725331494799;856.8325;
689725371512716;856.8387;
689725411513758;856.7962;
689725451514279;856.8125;
689725491517716;856.7888;
689725531514070;856.8050;
689725571490008;856.8175;
689725611512195;856.8575;
689725651492508;856.8325;
689725691503237;856.8337;
689725731492091;856.8463;
689725771498393;856.8612;
689725811515320;856.8650;
689725851519227;856.8662;
689725891485216;856.8675;
689725931519227;856.8650;
689725971520529;856.8600;
689726011513237;856.8637;
689726051492299;856.8600;
689726091511987;856.8600;
689726131503654;856.8625;
689726171491362;856.8612;
689726211491570;856.8850;
689726251490737;856.8900;
689726291517716;856.8875;
689726331516674;856.8900;
689726371513549;856.8762;
689726411515320;856.8687;
689726451514279;856.8650;
689726491513549;856.8712;
689726531513549;856.8612;
689726571493341;856.8625;
689726611500893;856.8762;
689726651492195;856.8812;
689726691499070;856.8975;
689726731515841;856.8937;
689726771515841;856.8587;
689726811513549;856.8538;
689726851516362;856.8350;
689726891491883;856.8200;
689726931514279;856.8463;
689726971516883;856.8637;
689727011512508;856.8562;
689727051502091;856.8775;
689727091491310;856.8950;
689727131492716;856.8662;
689727171495216;856.8950;
689727211513549;856.8912;
689727251511987;856.9000;
689727291512508;856.9063;
689727331518445;856.9125;
689727371514279;856.9262;
689727411490945;856.9325;
689727451514070;856.9312;
689727491491883;856.9250;
689727531494591;856.9225;
689727571490737;856.9325;
689727611491987;856.9350;
689727651515633;856.9225;
689727691512977;856.9212;
689727731516883;856.9225;
689727771518237;856.9200;
689727811517143;856.9250;
689727851512977;856.9262;
689727891496258;856.9225;
689727931512195;856.9262;
689727971496362;856.9250;
689728011491154;856.9150;
689728051490633;856.9163;
689728091494904;856.9237;
689728131516883;856.9312;
689728171517716;856.9200;
689728211509904;856.9163;
689728251519487;856.9012;
689728291511466;856.9375;
689728331515841;856.9387;
689728371513758;856.8900;
689728411490477;856.9025;
689728451502508;856.9100;
689728491492195;856.9088;
689728531493654;856.9212;
689728571513758;856.9262;
689728611513237;856.9287;
689728651513549;856.9437;
689728691513758;856.9512;
689728731515060;856.9550;
689728771511987;856.9587;
689728811490424;856.9512;
689728851512716;856.9525;
689728891492508;856.9312;
689728931492091;856.9250;
689728971492143;856.9237;
689729011491049;856.9150;
689729051507299;856.9250;
689729091514279;856.9212;
689729131513237;856.9225;
689729171512977;856.9312;
689729211512508;856.9337;
689729251512195;856.9362;
689729291507716;856.9275;
689729331492143;856.9325;
