Sensor: OnePlus Fusion Light Sensor
Vendor: OnePlus
TimestampLight [ns]; Light [lux]
690182853779951;6385.0000;
690182920441306;6380.0000;
690183053794118;6375.0000;
690183120440212;6376.0000;
690183253791826;6379.0000;
690183387129431;6377.0000;
690183453781201;6382.0000;
690183587123076;6462.0000;
690183653788493;6691.0000;
690183787123076;8111.0000;
690183853764847;10621.0000;
690183987120576;6385.0000;
690184053785785;6919.0000;
690184187094847;7135.0000;
690184253760368;7396.0000;
690184387119118;7641.0000;
690184453782920;7830.0000;
690184587102660;7973.0000;
690184720444847;8075.0000;
690184787115576;4048.0000;
690184920420264;4059.0000;
690184987108285;4075.0000;
690185120443910;4019.0000;
690185187109639;3860.0000;
690185320425889;3774.0000;
690185387105993;3759.0000;
690185520438493;3822.0000;
690185587079951;3971.0000;
690185720438910;4060.0000;
690185787102764;4060.0000;
690185920443806;3893.0000;
690185987074222;3316.0000;
690186120432451;2920.0000;
690186253765785;3094.0000;
690186320409326;3102.0000;
690186453762347;3191.0000;
690186520426097;3919.0000;
690186653736097;4334.0000;
690186720395681;4021.0000;
690186853757764;3985.0000;
690186920426410;4206.0000;
690187053732087;4219.0000;
690187120416306;4311.0000;
690187253755576;4360.0000;
690187320421097;4374.0000;
690187453743493;4368.0000;
690187520420264;4344.0000;
690187653749951;4330.0000;
690187787062868;4320.0000;
690187853750004;4296.0000;
690187987081514;4269.0000;
690188053721410;4236.0000;
690188187078076;4263.0000;
690188253743597;4266.0000;
690188387077920;4161.0000;
690188453718181;4136.0000;
690188587074847;4188.0000;
690188653739014;4244.0000;
690188787048314;4284.0000;
690188853720814;4285.0000;
690188987070085;4294.0000;
690189053736856;4336.0000;
690189187049043;4388.0000;
690189320400554;4445.0000;
690189387067585;4588.0000;
690189520373731;4780.0000;
690189587061387;4764.0000;
690189720396751;4431.0000;
690189787066335;3722.0000;
690189920409564;3088.0000;
690189987061543;2978.0000;
690190120393001;2891.0000;
690190187033210;2633.0000;
690190320392481;2560.0000;
690190387055918;3138.0000;
690190520366804;4104.0000;
690190587029564;4861.0000;
690190720383939;5673.0000;
690190853716439;6103.0000;
690190920359043;5697.0000;
690191053717064;4965.0000;
690191120382220;4703.0000;
690191253688470;4499.0000;
690191320363887;3863.0000;
690191453710710;1873.0000;
690191520376960;1796.0000;
690191653685814;1704.0000;
690191720373054;1684.0000;
690191853706856;1820.0000;
690191920375397;1710.0000;
690192053680397;2783.0000;
690192120374251;2949.0000;
690192253702585;3105.0000;
690192387018418;3205.0000;
690192453698106;3266.0000;
690192587035606;3043.0000;
690192653675293;2869.0000;
690192787034147;1359.0000;
690192853695606;1180.0000;
690192987027064;1060.0000;
690193053670710;965.0000;
690193187031126;939.0000;
690193253691543;929.0000;
690193386998314;943.0000;
690193453664251;1059.0000;
690193587024668;1182.0000;
690193720329876;1259.0000;
690193786990918;1289.0000;
690193920354668;1359.0000;
690193987019304;1399.0000;
690194120326804;1407.0000;
690194186999564;1442.0000;
690194320348418;1488.0000;
690194387016022;1442.0000;
690194520322793;1420.0000;
690194587012897;1383.0000;
690194720345501;1316.0000;
690194786987793;1192.0000;
690194920344251;1116.0000;
690194987006022;1115.0000;
690195120318731;1172.0000;
690195253676231;1210.0000;
690195320338314;1181.0000;
690195453670085;1119.0000;
690195520312272;1153.0000;
690195653665085;1191.0000;
690195720337637;1128.0000;
690195853641543;1065.0000;
690195920316387;1134.0000;
690196053663626;1293.0000;
690196120332585;1401.0000;
690196253637897;1375.0000;
690196320332585;1301.0000;
690196453659304;1539.0000;
690196520328001;1528.0000;
690196653683418;1446.0000;
690196786994772;1512.0000;
690196853655554;1504.0000;
690196986962481;1411.0000;
690197053656960;1400.0000;
690197186991751;1379.0000;
690197253630085;1387.0000;
690197386986335;1428.0000;
690197453649981;1364.0000;
690197586981751;1373.0000;
690197653627220;1466.0000;
690197786985918;1419.0000;
690197853644981;1369.0000;
690197986953835;1308.0000;
690198053663054;1247.0000;
690198186979460;1289.0000;
690198320282793;1263.0000;
690198386949356;1280.0000;
690198520308418;1275.0000;
690198586975710;1259.0000;
690198720280918;1329.0000;
690198786972637;1406.0000;
690198920301751;1445.0000;
690198986967793;1496.0000;
690199120308314;1479.0000;
690199186969356;1417.0000;
690199320294876;1351.0000;
690199386938418;1343.0000;
690199520294668;1371.0000;
690199586965554;1331.0000;
690199720269304;1321.0000;
690199853624876;1294.0000;
690199920293887;1248.0000;
690200053623835;1204.0000;
690200120266647;1314.0000;
690200253620293;1360.0000;
690200320288001;1317.0000;
690200453594564;1276.0000;
690200520261126;1242.0000;
690200653617220;1225.0000;
690200720287064;1179.0000;
690200853591387;1141.0000;
690200920258731;1170.0000;
690201053612897;1197.0000;
690201120278626;1224.0000;
690201253610085;1223.0000;
690201386944147;1236.0000;
690201453611751;1255.0000;
690201586918470;1240.0000;
690201653608887;1155.0000;
690201786948626;1063.0000;
690201853581387;1074.0000;
690201986938054;1020.0000;
690202053607637;1049.0000;
690202186934251;1097.0000;
690202253578626;1191.0000;
690202386935814;1334.0000;
690202453600710;1431.0000;
690202586914720;1403.0000;
690202720264720;1506.0000;
690202786935397;1649.0000;
690202920235397;1588.0000;
690202986903626;1503.0000;
690203120259043;1267.0000;
690203186929251;1270.0000;
690203320232845;1348.0000;
690203386920710;1305.0000;
690203520256335;1354.0000;
690203586925710;1398.0000;
690203720230710;1449.0000;
690203786923418;1329.0000;
690203920251231;1198.0000;
690203986891856;1228.0000;
690204120250814;1322.0000;
690204253580918;1375.0000;
690204320223106;1271.0000;
690204453578054;1232.0000;
690204520246439;1187.0000;
690204653579251;1095.0000;
690204720218470;913.0000;
690204853575397;862.0000;
690204920242376;874.0000;
690205053550293;783.0000;
690205120214564;734.0000;
690205253568626;709.0000;
690205320236543;666.0000;
690205453538626;501.0000;
690205520210814;353.0000;
690205653566126;288.0000;
690205786876387;305.0000;
690205853562897;294.0000;
690205986898470;275.0000;
690206053562585;283.0000;
690206186870397;272.0000;
690206253561387;259.0000;
690206386892897;269.0000;
690206453537637;278.0000;
690206586894668;297.0000;
690206653558626;341.0000;
690206786896647;450.0000;
690206853529876;1146.0000;
690206986885501;1198.0000;
690207053551751;1356.0000;
690207186860293;1361.0000;
690207320219043;1274.0000;
690207386882897;1394.0000;
690207520189043;1480.0000;
690207586862481;1510.0000;
690207720214460;1411.0000;
690207786880918;1480.0000;
690207920188939;1559.0000;
690207986873470;1522.0000;
690208120211439;1478.0000;
690208186878418;1415.0000;
690208320219356;1266.0000;
690208386872064;1168.0000;
690208520203001;1018.0000;
690208586845970;960.0000;
690208720203731;1005.0000;
690208853531804;750.0000;
690208920211126;381.0000;
690209053532168;336.0000;
690209120201543;333.0000;
690209253527793;314.0000;
690209320171804;317.0000;
690209453529981;338.0000;
690209520193314;326.0000;
690209653502897;325.0000;
690209720180397;325.0000;
690209853524876;380.0000;
690209920192376;494.0000;
690210053498001;422.0000;
690210186855293;355.0000;
690210253519720;372.0000;
690210386827376;339.0000;
690210453510189;325.0000;
690210586851751;314.0000;
690210653517220;309.0000;
690210786826543;321.0000;
690210853513054;525.0000;
690210986848418;335.0000;
690211053487272;359.0000;
690211186842793;334.0000;
690211253508835;343.0000;
690211386841543;329.0000;
690211453484043;329.0000;
690211586843418;626.0000;
690211720170970;390.0000;
690211786815710;400.0000;
690211920164043;417.0000;
690211986837793;374.0000;
690212120143210;388.0000;
690212186821335;395.0000;
690212320168835;578.0000;
690212386834564;528.0000;
690212520141126;956.0000;
690212586828835;532.0000;
690212720161543;434.0000;
690212786837481;414.0000;
690212920134147;417.0000;
690212986824251;407.0000;
690213120159564;370.0000;
690213253473054;368.0000;
690213320157064;360.0000;
690213453486231;353.0000;
690213520163054;361.0000;
690213653487481;375.0000;
690213720153314;385.0000;
690213853484251;423.0000;
690213920124981;454.0000;
690214053480293;595.0000;
690214120146126;729.0000;
690214253454251;952.0000;
690214320123054;1499.0000;
690214453477897;1598.0000;
690214520144876;1608.0000;
690214653451804;1536.0000;
690214786813314;1482.0000;
690214853473210;1518.0000;
690214986780814;1591.0000;
690215053457064;1565.0000;
690215186806647;1572.0000;
690215253469147;1029.0000;
690215386784772;1015.0000;
690215453465606;1703.0000;
690215586802064;1757.0000;
690215653439876;1771.0000;
690215786796387;1751.0000;
690215853463418;1695.0000;
690215986793522;1682.0000;
690216053436960;1679.0000;
690216186795606;1632.0000;
690216320124251;1687.0000;
690216386765606;1732.0000;
690216520104772;1712.0000;
690216586794251;1748.0000;
690216720095501;1752.0000;
690216786767168;1730.0000;
690216920119251;1649.0000;
690216986787793;1720.0000;
690217120094147;1840.0000;
690217186782637;1769.0000;
690217320118314;1664.0000;
690217386780814;1723.0000;
690217520090137;1812.0000;
690217586778054;1758.0000;
690217720113939;1647.0000;
690217853429043;1623.0000;
690217920108001;1723.0000;
690218053442272;1836.0000;
690218120108626;1834.0000;
690218253437168;1771.0000;
690218320109876;1650.0000;
690218453436387;1568.0000;
690218520079981;1563.0000;
690218653437272;1612.0000;
690218720101960;1626.0000;
690218853411335;1607.0000;
690218920068314;1681.0000;
690219053429876;1722.0000;
690219186775397;1709.0000;
690219253402637;1793.0000;
690219386760814;1908.0000;
690219453427585;1908.0000;
690219586733835;1918.0000;
690219653419304;1932.0000;
690219786767168;1995.0000;
690219853422793;2150.0000;
690219986736647;1951.0000;
690220053419876;1910.0000;
690220186755293;1994.0000;
690220253427064;2060.0000;
690220386746751;1969.0000;
690220453414772;1935.0000;
690220586754564;1983.0000;
690220720060397;2044.0000;
690220786753418;2045.0000;
690220920079876;2020.0000;
690220986719147;2009.0000;
690221120078835;2001.0000;
690221186747481;1884.0000;
690221320055606;1716.0000;
690221386716856;2999.0000;
690221520076335;2945.0000;
690221586743939;2915.0000;
690221720049304;2960.0000;
690221786734668;2925.0000;
690221920067897;3035.0000;
690221986735501;3435.0000;
690222120039251;3845.0000;
690222253398626;4616.0000;
690222320064564;5056.0000;
690222453372481;5344.0000;
690222520062585;4997.0000;
690222653390918;4563.0000;
690222720058939;4570.0000;
690222853417220;4530.0000;
690222920059876;4209.0000;
690223053391335;4216.0000;
690223120031335;4273.0000;
690223253387637;3994.0000;
690223320055814;3689.0000;
690223453362376;3498.0000;
690223520027272;3283.0000;
690223653384668;3201.0000;
690223786729356;6309.0000;
690223853363158;6594.0000;
690223986715710;7429.0000;
690224053381960;10909.0000;
690224186688054;16084.0000;
690224253371647;20246.0000;
690224386712376;21822.0000;
690224453375501;21661.0000;
690224586696751;21721.0000;
690224653374876;20941.0000;
690224786719772;19543.0000;
690224853371387;11798.0000;
690224986700501;5581.0000;
690225053362689;5509.0000;
690225186705293;5140.0000;
690225320046751;2353.0000;
690225386699043;2233.0000;
690225520032897;2151.0000;
690225586671126;2008.0000;
690225720030606;1913.0000;
690225786703314;1935.0000;
690225920036856;1933.0000;
690225986671022;2003.0000;
690226120022897;1958.0000;
690226186692272;858.0000;
690226320000918;782.0000;
690226386683731;766.0000;
690226520023314;763.0000;
690226586690293;722.0000;
690226719988626;659.0000;
690226853348470;631.0000;
690226920017168;651.0000;
690227053325085;696.0000;
690227120013210;733.0000;
690227253348626;832.0000;
690227320015710;748.0000;
690227453342220;609.0000;
690227520013054;608.0000;
690227653346647;630.0000;
690227719984564;650.0000;
690227853340710;660.0000;
690227920005397;652.0000;
690228053314981;588.0000;
690228186670918;541.0000;
690228253335606;543.0000;
690228386671543;536.0000;
690228453310293;527.0000;
690228586665814;521.0000;
690228653335501;614.0000;
690228786645501;619.0000;
690228853312897;567.0000;
690228986662220;520.0000;
690229053329304;508.0000;
690229186646387;521.0000;
690229253324147;547.0000;
690229386660554;554.0000;
690229453325293;573.0000;
690229586654356;599.0000;
690229719990293;578.0000;
690229786665085;575.0000;
690229919963314;604.0000;
690229986651856;582.0000;
690230119986439;562.0000;
690230186625970;575.0000;
690230319986439;576.0000;
690230386648835;578.0000;
690230519981647;589.0000;
690230586622897;586.0000;
690230719976647;589.0000;
690230786658626;572.0000;
690230919951543;540.0000;
690230986617637;498.0000;
690231119974668;449.0000;
690231253284772;406.0000;
690231319948106;411.0000;
690231453304981;432.0000;
690231519971960;368.0000;
690231653278887;386.0000;
690231719967897;418.0000;
690231853299043;458.0000;
690231919969460;497.0000;
690232053317897;461.0000;
690232119967481;425.0000;
690232253298626;444.0000;
690232319939304;455.0000;
690232453293939;453.0000;
690232519959251;445.0000;
690232653269564;426.0000;
690232786628210;420.0000;
690232853289668;432.0000;
690232986636751;415.0000;
690233053274043;428.0000;
690233186622220;456.0000;
690233253286126;452.0000;
690233386592585;473.0000;
690233453259460;518.0000;
690233586620814;545.0000;
690233653281543;568.0000;
690233786592168;574.0000;
690233853276387;587.0000;
690233986612793;612.0000;
690234053281856;637.0000;
690234186604304;663.0000;
690234319940918;687.0000;
690234386607689;684.0000;
690234519916231;692.0000;
690234586606647;706.0000;
690234719938731;723.0000;
690234786583835;724.0000;
690234919936126;690.0000;
690234986603887;659.0000;
690235119935085;659.0000;
690235186576856;679.0000;
690235319931335;662.0000;
690235386599564;629.0000;
690235519905293;641.0000;
690235586565501;676.0000;
690235719928522;681.0000;
690235853235606;676.0000;
690235919896022;677.0000;
690236053256647;691.0000;
690236119923418;684.0000;
690236253231647;644.0000;
690236319922481;665.0000;
690236453256439;701.0000;
690236519921960;737.0000;
690236653232481;732.0000;
690236719917585;705.0000;
690236853252481;683.0000;
690236919893210;675.0000;
690237053249668;683.0000;
690237186578470;692.0000;
690237253259043;684.0000;
690237386576960;679.0000;
690237453245085;694.0000;
690237586576751;699.0000;
690237653216231;676.0000;
690237786578314;644.0000;
690237853241231;638.0000;
690237986548418;662.0000;
690238053207272;661.0000;
690238186571960;649.0000;
690238253235918;654.0000;
690238386544304;692.0000;
690238453231231;735.0000;
690238586566543;716.0000;
690238719873887;744.0000;
690238786560710;777.0000;
690238919894981;771.0000;
690238986562585;760.0000;
690239119869356;1400.0000;
690239186558731;1425.0000;
690239319891960;1388.0000;
690239386544668;1339.0000;
690239519865085;723.0000;
690239586555710;1346.0000;
690239719887376;1275.0000;
690239786540814;1250.0000;
690239919886126;1256.0000;
690239986553731;1246.0000;
690240119858418;670.0000;
690240253214043;668.0000;
690240319879668;688.0000;
690240453187272;721.0000;
690240519859147;727.0000;
690240653209460;711.0000;
690240719877689;669.0000;
690240853191647;627.0000;
690240919874460;567.0000;
690241053209251;559.0000;
690241119873939;566.0000;
690241253181335;554.0000;
690241319871960;547.0000;
690241453203887;547.0000;
690241519845918;558.0000;
690241653201647;606.0000;
690241786542897;664.0000;
690241853201126;681.0000;
690241986530814;711.0000;
690242053196231;710.0000;
690242186529564;714.0000;
690242253170970;716.0000;
690242386527220;749.0000;
690242453190293;754.0000;
690242586505293;742.0000;
690242653178314;751.0000;
690242786530501;776.0000;
690242853184460;781.0000;
690242986512793;758.0000;
690243053185085;737.0000;
690243186520710;762.0000;
690243319824668;781.0000;
690243386493054;725.0000;
690243519845918;693.0000;
690243586516335;680.0000;
690243719823939;686.0000;
690243786511960;677.0000;
690243919842376;644.0000;
690243986515397;615.0000;
690244119841126;590.0000;
690244186506022;552.0000;
690244319842793;542.0000;
690244386486231;552.0000;
690244519836335;571.0000;
690244586509043;560.0000;
690244719816231;540.0000;
690244853193314;540.0000;
690244919835606;584.0000;
690245053152793;603.0000;
690245119809876;613.0000;
690245253162376;619.0000;
690245319834147;643.0000;
690245453145606;652.0000;
690245519821231;618.0000;
690245653168106;569.0000;
690245719829304;516.0000;
690245853129304;475.0000;
690245919824668;459.0000;
690246053191543;443.0000;
690246186457897;456.0000;
690246253150710;446.0000;
690246386487168;423.0000;
690246453151804;429.0000;
690246586483731;456.0000;
690246653149772;479.0000;
690246786501804;475.0000;
690246853124147;435.0000;
690246986484981;425.0000;
690247053146751;412.0000;
690247186454981;404.0000;
690247253127272;367.0000;
690247386481126;317.0000;
690247453143731;265.0000;
690247586441856;264.0000;
690247719807168;283.0000;
690247786484043;284.0000;
690247919781647;277.0000;
690247986446543;283.0000;
690248119782793;293.0000;
690248186469564;308.0000;
690248319771439;320.0000;
690248386469981;318.0000;
690248519800918;318.0000;
690248586465293;322.0000;
690248719796051;328.0000;
690248786486312;343.0000;
690248919794906;364.0000;
690248986436885;382.0000;
690249119795218;393.0000;
690249253124072;403.0000;
690249319774072;412.0000;
690249453123031;435.0000;
690249519786885;460.0000;
690249653135062;485.0000;
690249719763760;515.0000;
690249853120010;550.0000;
690249919784906;571.0000;
690250053092822;567.0000;
690250119792301;582.0000;
690250253115426;576.0000;
690250319780062;553.0000;
690250453087614;577.0000;
690250519779385;572.0000;
690250653109593;553.0000;
690250786420531;533.0000;
690250853105426;504.0000;
690250986446729;494.0000;
690251053107562;516.0000;
690251186451572;531.0000;
690251253105010;562.0000;
690251386436989;574.0000;
690251453077926;562.0000;
690251586428760;590.0000;
690251653100426;647.0000;
690251786413812;624.0000;
690251853075739;624.0000;
690251986431676;618.0000;
690252053099697;639.0000;
690252186403864;641.0000;
690252319761676;600.0000;
690252386426572;584.0000;
690252519735322;604.0000;
690252586400218;606.0000;
690252719755947;582.0000;
690252786435010;582.0000;
690252919735895;637.0000;
690252986425114;647.0000;
690253119752406;671.0000;
690253186420843;756.0000;
690253319742145;813.0000;
690253386413343;786.0000;
690253519748135;838.0000;
690253586388551;913.0000;
690253719745062;853.0000;
690253853080426;683.0000;
690253919713864;651.0000;
690254053077093;686.0000;
690254119745947;615.0000;
690254253080843;557.0000;
690254319718239;553.0000;
690254453072510;539.0000;
690254519739593;488.0000;
690254653045843;503.0000;
690254719715426;547.0000;
690254853072822;581.0000;
690254919733968;566.0000;
690255053042301;536.0000;
690255119735010;540.0000;
690255253065426;569.0000;
690255386378031;578.0000;
690255453053812;569.0000;
690255586396676;525.0000;
690255653084489;503.0000;
690255786371781;497.0000;
690255853054385;494.0000;
690255986391051;499.0000;
690256053030635;487.0000;
690256186388447;478.0000;
690256253052926;460.0000;
