Sensor: bmi160 Gyroscope Non-wakeup
Vendor: BOSCH
TimestampGyro [ns]; GyroX [rad/s]; GyroY [rad/s]; GyroZ [rad/s]
258613894033367;-0.3798;-0.0056;-0.0121;
258613899078888;-0.3734;-0.0056;-0.0196;
258613904139930;-0.3595;0.0189;-0.0100;
258613909196700;-0.3201;0.0274;-0.0025;
258613914247534;-0.2541;0.0146;-0.0047;
258613919297221;-0.1667;-0.0003;-0.0036;
258613924358367;-0.0730;-0.0035;-0.0025;
258613929417794;0.0133;-0.0067;-0.0025;
258613934460346;0.0858;-0.0152;-0.0036;
258613939522742;0.1262;-0.0237;-0.0057;
258613944573628;0.1358;-0.0248;-0.0057;
258613949676075;0.1177;-0.0109;-0.0079;
258613954678107;0.0858;-0.0035;-0.0100;
258613959706753;0.0421;-0.0067;-0.0111;
258613964783107;-0.0005;-0.0088;-0.0121;
258613969833575;-0.0314;0.0040;-0.0111;
258613974889461;-0.0453;0.0200;-0.0057;
258613979924669;-0.0453;0.0232;-0.0036;
258613984986805;-0.0282;0.0093;-0.0057;
258613990036753;-0.0059;-0.0088;-0.0057;
258613995107586;0.0154;-0.0120;-0.0057;
258614000174669;0.0261;-0.0035;-0.0057;
258614005215086;0.0304;0.0083;-0.0036;
258614010258159;0.0314;0.0083;-0.0036;
258614015323419;0.0272;-0.0003;-0.0047;
258614020380034;0.0250;-0.0067;-0.0036;
258614025433315;0.0186;-0.0035;-0.0025;
258614030491700;0.0080;0.0104;0.0017;
258614035530138;0.0037;0.0178;0.0017;
258614040597898;0.0112;0.0178;0.0017;
258614045649930;0.0325;0.0146;0.0007;
258614050708003;0.0687;0.0125;0.0007;
258614055745242;0.1103;0.0093;-0.0015;
258614060810242;0.1529;-0.0067;-0.0047;
258614065880867;0.1774;-0.0269;-0.0068;
258614070913680;0.1836;-0.0216;-0.0057;
258614075960555;0.1752;-0.0077;-0.0025;
258614081018471;0.1443;-0.0013;-0.0015;
258614086065815;0.0943;-0.0067;-0.0025;
258614091116857;0.0442;-0.0077;-0.0015;
258614096179825;-0.0048;0.0019;0.0017;
258614101238263;-0.0463;0.0157;0.0017;
258614106287221;-0.0676;0.0200;0.0017;
258614111336232;-0.0666;0.0178;0.0017;
258614116399825;-0.0421;0.0157;0.0028;
258614121442482;0.0037;0.0104;0.0007;
258614126501023;0.0613;0.0040;-0.0004;
258614131559513;0.1145;-0.0013;0.0017;
258614136618471;0.1624;-0.0035;0.0049;
258614141666388;0.1911;-0.0024;0.0017;
258614146721544;0.1943;-0.0045;0.0039;
258614151776180;0.1742;-0.0109;0.0017;
258614156829617;0.1358;-0.0173;0.0017;
258614161884357;0.0847;-0.0088;0.0017;
258614166933055;0.0208;0.0008;0.0017;
258614171994513;-0.0453;0.0019;0.0017;
258614177044930;-0.1017;-0.0003;0.0007;
258614182095555;-0.1422;0.0051;0.0017;
258614187156492;-0.1667;0.0200;0.0017;
258614192206492;-0.1699;0.0242;0.0039;
258614197265659;-0.1390;0.0115;0.0039;
258614202316805;-0.0879;0.0019;0.0017;
258614207369825;-0.0357;-0.0045;0.0039;
258614212428940;0.0176;-0.0003;0.0049;
258614217480607;0.0687;0.0051;0.0071;
258614222534513;0.1145;0.0061;0.0060;
258614227585138;0.1454;-0.0035;0.0071;
258614232637638;0.1678;-0.0024;0.0060;
258614237693680;0.1826;0.0072;0.0092;
258614242750242;0.1921;0.0104;0.0092;
258614247829409;0.1943;0.0040;0.0081;
258614252861805;0.1953;-0.0013;0.0071;
258614257933419;0.1889;-0.0077;0.0071;
258614262983003;0.1731;-0.0152;0.0060;
258614268015763;0.1390;-0.0173;0.0060;
258614273094565;0.0964;-0.0045;0.0049;
258614278143836;0.0527;0.0072;0.0049;
258614283200815;0.0080;0.0008;0.0028;
258614288213888;-0.0293;-0.0067;0.0007;
258614293311700;-0.0602;-0.0067;-0.0004;
258614298364669;-0.0815;0.0008;0.0039;
258614303418367;-0.0932;0.0093;0.0060;
258614308443992;-0.0889;0.0200;0.0060;
258614313513367;-0.0698;0.0242;0.0060;
258614318559565;-0.0250;0.0200;0.0060;
258614323647482;0.0399;0.0178;0.0060;
258614328691440;0.1145;0.0146;0.0039;
258614333725450;0.1953;0.0051;0.0071;
258614338779096;0.2667;-0.0045;0.0049;
258614343836805;0.3221;-0.0035;0.0049;
258614348906284;0.3594;-0.0003;0.0039;
