TimestampGNSS [ns]; UTC time [ms]; Lat [deg]; Lon [deg]; Height [m]; Speed [m/s]; Heading [deg]; Hor Acc [m]; Vert Acc [m]; Speed Acc [m/s]; Heading Acc [deg]
259351568374017;1630614727299;40.244787450000;-111.646406320000;1377.0558;0.1500;107.7000;5.42704248;8.25493145;0.72249568;33.83019638;
259352775276621;1630614729000;40.244771440000;-111.646393690000;1379.8419;0.0000;-3000.0000;3.79009247;5.55721378;0.08602326;-1.00000000;
259353762490058;1630614730000;40.244767590000;-111.646398240000;1379.9083;0.0000;-3000.0000;3.79009247;4.53830671;0.08062258;-1.00000000;
259354779266047;1630614731000;40.244765920000;-111.646400390000;1380.6328;0.0000;-3000.0000;3.79009247;4.12220144;0.08602326;-1.00000000;
259355775231307;1630614732000;40.244769010000;-111.646399140000;1381.4867;0.0000;-3000.0000;3.79009247;4.06118488;0.08602326;-1.00000000;
259356766777505;1630614733000;40.244769940000;-111.646397920000;1381.4651;0.1500;60.9000;3.79009247;3.33194876;1.12004459;96.14261627;
259357767856567;1630614734000;40.244775290000;-111.646386980000;1377.2444;0.4500;74.2000;3.79009247;3.03491735;1.06850362;4.75258970;
259358777920837;1630614735000;40.244778360000;-111.646394870000;1377.3229;0.4600;74.2000;3.79009247;2.75835299;1.12004459;7.35105753;
259359774678545;1630614736000;40.244781160000;-111.646388690000;1377.2537;0.3700;74.2000;3.79009247;2.50000000;1.07912004;8.84765244;
259360773671253;1630614737000;40.244785530000;-111.646387850000;1377.5184;0.2900;74.2000;3.79009247;2.50000000;1.12507772;8.71863174;
259361770845316;1630614738000;40.244793490000;-111.646371370000;1376.6710;1.5600;63.8000;3.79009247;2.50000000;0.10770330;2.01498151;
259362770499846;1630614739000;40.244800250000;-111.646350500000;1376.2587;1.9600;70.3000;3.79009247;2.50000000;0.33120990;5.44237614;
259363767230263;1630614740000;40.244806160000;-111.646333240000;1376.5175;1.4000;74.9000;3.79009247;2.50870895;0.55569774;13.11705685;
259364770972710;1630614741000;40.244809030000;-111.646317080000;1376.0132;1.3100;84.3000;3.79009247;2.50000000;0.31384709;7.56751490;
259365769157606;1630614742000;40.244813330000;-111.646292800000;1375.7994;2.4000;77.7000;3.79009247;2.50000000;0.11180340;1.39315987;
259366771715314;1630614743000;40.244817890000;-111.646263880000;1375.8450;2.4000;81.0000;3.79009247;2.50000000;0.45803931;7.45036459;
259367773904063;1630614744000;40.244821430000;-111.646219860000;1375.9722;4.1600;85.0000;3.79009247;2.50000000;0.63245553;5.71263123;
259368771669167;1630614745000;40.244826420000;-111.646173890000;1374.4983;3.5500;80.2000;3.79009247;2.50000000;0.53712195;4.82268572;
259369774675729;1630614746000;40.244832120000;-111.646118730000;1373.9669;4.9600;84.0000;3.79009247;2.50000000;0.66850579;4.95832777;
259370770846354;1630614747000;40.244833770000;-111.646042750000;1374.7827;6.0100;86.7000;3.79009247;2.50000000;0.46615449;2.96619654;
259371772095520;1630614748000;40.244826190000;-111.645974250000;1374.9871;5.9400;95.7000;3.79009247;2.50000000;0.38910154;1.88219261;
259372765129582;1630614749000;40.244822800000;-111.645896210000;1374.0115;7.0100;93.6000;3.79009247;2.50000000;0.62265563;2.91684508;
259373775869009;1630614750000;40.244817290000;-111.645815490000;1373.5997;6.7900;92.4000;3.79009247;2.50000000;0.54378307;2.82209039;
259374765950727;1630614751000;40.244817580000;-111.645726120000;1374.4574;7.3100;89.0000;3.79009247;2.50000000;0.25553864;1.19632387;
259375772990206;1630614752000;40.244819940000;-111.645644940000;1374.3000;6.9100;86.8000;3.79009247;2.50000000;0.36249137;1.48791409;
259376768303591;1630614753000;40.244823860000;-111.645560190000;1373.7506;6.8900;85.6000;3.79009247;2.50000000;0.76843995;4.18061256;
259377770436716;1630614754000;40.244811820000;-111.645455090000;1374.5122;8.7500;99.0000;3.79009247;2.50000000;0.54037023;2.55074549;
259378778299267;1630614755000;40.244819820000;-111.645361990000;1374.5409;8.1800;86.4000;3.79009247;2.50000000;0.36674240;1.32635033;
259379772265465;1630614756000;40.244829510000;-111.645266480000;1375.4753;8.5800;84.7000;3.79009247;2.50000000;0.59033889;2.01498127;
259380774134735;1630614757000;40.244831990000;-111.645179200000;1374.9858;7.3100;88.9000;3.79009247;2.50000000;0.64007813;2.79877329;
259381765598433;1630614758000;40.244826240000;-111.645078630000;1375.7653;8.1800;94.0000;3.79009247;2.50000000;0.65459913;2.94570923;
259382773675880;1630614759000;40.244821270000;-111.644988740000;1375.2764;7.0400;93.9000;3.79009247;2.50000000;0.57201397;3.17884517;
259383769920672;1630614760000;40.244829470000;-111.644904460000;1375.3615;7.6700;88.5000;3.79009247;2.50000000;0.48020828;2.10210466;
259384772157078;1630614761000;40.244828280000;-111.644813650000;1375.4763;7.7500;92.3000;3.79009247;2.50000000;0.46957427;1.76555288;
259385777712650;1630614762000;40.244825990000;-111.644723070000;1375.7655;7.6700;91.3000;3.79009247;2.50000000;0.32649654;1.25860059;
259386769261191;1630614763000;40.244824430000;-111.644633470000;1375.8690;7.4900;93.7000;3.79009247;2.50000000;0.12529965;0.51829386;
259387768385410;1630614764000;40.244823380000;-111.644543030000;1376.0121;7.7000;91.7000;3.79009247;2.50000000;0.07211103;0.39885727;
259388774016086;1630614765000;40.244827670000;-111.644451990000;1376.0750;7.8300;86.6000;3.79009247;2.50000000;0.08602326;0.41109532;
259389769862232;1630614766000;40.244828540000;-111.644359680000;1376.3103;8.0900;89.1000;3.79009247;2.50000000;0.37735924;1.63498199;
259390777754002;1630614767000;40.244831140000;-111.644264420000;1376.3744;8.0400;89.2000;3.79009247;2.50000000;0.64660650;2.72681975;
259391780852804;1630614768000;40.244832730000;-111.644167630000;1376.6722;7.7600;90.7000;3.79009247;2.50000000;0.45793012;2.01082826;
