Sensor: stk_stk3a5x Ambient Light Sensor Non-wakeup
Vendor: sensortek
TimestampLight [ns]; Light [lux]
3547569767593583;1058.0000;
3547569900927385;1058.0000;
3547569967591552;1058.0000;
3547570100915771;1058.0000;
3547570167591917;1055.0000;
3547570300921500;1055.0000;
3547570367585927;1057.0000;
3547570500921292;1049.0000;
3547570567583583;1043.0000;
3547570700918219;1036.0000;
3547570834248844;1026.0000;
3547570900922177;1018.0000;
3547571034253167;1011.0000;
3547571100888375;1003.0000;
3547571234249521;996.0000;
3547571300913688;987.0000;
3547571434228844;972.0000;
3547571500910354;960.0000;
3547571634250667;948.0000;
3547571700908583;941.0000;
3547571834242646;934.0000;
3547571900909625;928.0000;
3547572034242125;923.0000;
3547572100877854;920.0000;
3547572234238375;917.0000;
3547572367566917;919.0000;
3547572434276083;931.0000;
3547572567563010;991.0000;
3547572634226188;1091.0000;
3547572767567021;1089.0000;
3547572834231188;1058.0000;
3547572967562854;1040.0000;
3547573034232854;1032.0000;
3547573167561708;1020.0000;
3547573234204208;1009.0000;
3547573367556760;1012.0000;
3547573434223583;1014.0000;
3547573567538427;1017.0000;
3547573634227958;1017.0000;
3547573767552125;1017.0000;
3547573900860510;1015.0000;
3547573967552750;1011.0000;
3547574100883167;1014.0000;
3547574167553010;1009.0000;
3547574300879833;1005.0000;
3547574367549000;997.0000;
3547574500880667;984.0000;
3547574567520354;969.0000;
3547574700877021;959.0000;
3547574767544417;954.0000;
3547574900872750;951.0000;
3547574967541292;953.0000;
3547575100873271;953.0000;
3547575234179104;953.0000;
3547575300870979;953.0000;
3547575434204260;954.0000;
3547575500866604;953.0000;
3547575634211292;951.0000;
3547575700865094;953.0000;
3547575834201292;951.0000;
3547575900870875;947.0000;
3547576034179260;934.0000;
3547576100862125;932.0000;
3547576234194833;929.0000;
3547576300862333;931.0000;
3547576434195875;941.0000;
3547576500858010;951.0000;
3547576634201500;987.0000;
3547576767525875;1051.0000;
3547576834190771;1051.0000;
3547576967521188;1045.0000;
3547577034160875;1072.0000;
3547577167522594;1109.0000;
3547577234185146;1116.0000;
3547577367515042;1116.0000;
3547577434182646;1116.0000;
3547577567514417;1110.0000;
3547577634192125;1109.0000;
3547577767512542;1109.0000;
3547577834179417;1112.0000;
3547577967511083;1116.0000;
3547578034149938;1141.0000;
3547578167508271;1150.0000;
3547578300840458;1162.0000;
3547578367508583;1171.0000;
3547578500841604;1177.0000;
3547578567504417;1186.0000;
3547578700837854;1198.0000;
3547578767502750;1183.0000;
3547578900837021;1115.0000;
3547578967502177;1134.0000;
3547579100851917;1143.0000;
3547579167501292;1153.0000;
3547579300834260;1188.0000;
3547579367509104;1046.0000;
3547579500804833;902.0000;
3547579634175875;1040.0000;
3547579700808427;1177.0000;
3547579834163271;1280.0000;
3547579900834417;1335.0000;
3547580034139521;1335.0000;
3547580100830354;1323.0000;
3547580234164104;1327.0000;
3547580300825667;1323.0000;
3547580434152438;1320.0000;
3547580500826500;1326.0000;
3547580634162438;1335.0000;
3547580700799938;1372.0000;
3547580834151500;1372.0000;
3547580900825042;1370.0000;
3547581034131188;1361.0000;
3547581167455875;1382.0000;
3547581234145875;1384.0000;
3547581367456917;1385.0000;
3547581434143844;1382.0000;
3547581567459208;1378.0000;
3547581634150354;1348.0000;
3547581767480771;1340.0000;
3547581834142438;1336.0000;
3547581967456188;1332.0000;
3547582034118896;1332.0000;
3547582167457125;1337.0000;
3547582234135979;1345.0000;
3547582367452594;1339.0000;
3547582500801500;1324.0000;
3547582567449938;1324.0000;
3547582700781813;1343.0000;
3547582767465458;1357.0000;
3547582900801344;1358.0000;
3547582967472854;1358.0000;
