Sensor: bmi160 Accelerometer Non-wakeup
Vendor: BOSCH
TimestampAcc [ns]; AccX [m/s^2]; AccY [m/s^2]; AccZ [m/s^2]
1184022182135512;-9.1436;1.6376;-3.1038;
1184022192265980;-9.1747;1.6232;-3.0966;
1184022202403168;-9.1771;1.6543;-3.0033;
1184022212474678;-9.1890;1.7381;-2.9459;
1184022222647230;-9.1795;1.7596;-2.9124;
1184022232757178;-9.1866;1.7931;-2.9506;
1184022242841137;-9.1723;1.7931;-2.9937;
1184022252984001;-9.1675;1.8051;-3.0176;
1184022263052334;-9.1819;1.8027;-2.9961;
1184022273155668;-9.1675;1.8051;-3.0033;
1184022283258272;-9.1699;1.8221;-2.9626;
1184022293347074;-9.1603;1.8078;-2.9076;
1184022303465147;-9.1914;1.7955;-2.8980;
1184022313558689;-9.1986;1.7836;-2.9148;
1184022323647439;-9.1723;1.7501;-2.9626;
1184022333751397;-9.1866;1.7166;-2.9913;
1184022343857074;-9.1723;1.6974;-3.0153;
1184022353953064;-9.1699;1.6831;-2.9961;
1184022364059418;-9.1819;1.6902;-2.9746;
1184022374151918;-9.1866;1.6783;-2.9483;
1184022384231605;-9.1938;1.6807;-2.9746;
1184022394350824;-9.1866;1.6854;-2.9818;
1184022404455668;-9.1938;1.6854;-3.0009;
1184022414555616;-9.1962;1.6974;-3.0081;
1184022424699626;-9.1747;1.6735;-2.9961;
1184022434757803;-9.1819;1.7070;-3.0200;
1184022444855720;-9.1843;1.7189;-3.0129;
1184022454957282;-9.1747;1.6831;-3.0129;
1184022465077126;-9.1603;1.6735;-3.0105;
1184022475168532;-9.1914;1.6496;-3.0296;
1184022485263012;-9.1747;1.6280;-3.0009;
1184022495360303;-9.1723;1.5514;-2.9650;
1184022505463949;-9.2034;1.5176;-2.9841;
1184022515572647;-9.1938;1.4913;-2.9889;
1184022525667491;-9.1651;1.4530;-3.0081;
1184022535763741;-9.1819;1.4171;-3.0488;
1184022545862230;-9.1986;1.4171;-3.0368;
1184022555968741;-9.1866;1.3956;-3.0129;
1184022566072699;-9.2082;1.3789;-3.0105;
1184022576195824;-9.1962;1.3693;-3.0176;
1184022586283428;-9.1938;1.3884;-2.9937;
1184022596402699;-9.1962;1.3549;-2.9530;
1184022606491762;-9.1890;1.3549;-2.9650;
1184022616582439;-9.2082;1.3597;-2.9674;
1184022626679470;-9.2058;1.3502;-3.0033;
1184022636789366;-9.1914;1.3478;-3.0224;
1184022646941397;-9.1962;1.3119;-3.0416;
1184022656999418;-9.1795;1.2808;-3.0823;
1184022667130147;-9.2034;1.2855;-3.0105;
1184022677184730;-9.2249;1.3047;-2.9841;
1184022687308480;-9.2154;1.3047;-2.9459;
1184022697400928;-9.2106;1.2951;-2.9435;
1184022707493428;-9.2154;1.2541;-2.9626;
1184022717620043;-9.2201;1.2230;-2.9602;
1184022727717855;-9.2058;1.2015;-2.9794;
1184022737791762;-9.1890;1.2015;-2.9746;
1184022747891657;-9.2130;1.2159;-2.9985;
1184022758019939;-9.2010;1.1967;-3.0057;
1184022768104314;-9.1914;1.2182;-2.9770;
1184022778206032;-9.2273;1.2517;-3.0129;
1184022788328480;-9.2225;1.2879;-2.9865;
1184022798426293;-9.1914;1.3262;-2.9554;
1184022808551709;-9.1747;1.3430;-2.9913;
1184022818580512;-9.1723;1.3932;-2.9937;
1184022828725199;-9.1795;1.4506;-3.0033;
1184022838840251;-9.1747;1.4746;-3.0488;
1184022848939209;-9.1460;1.4865;-3.1110;
1184022859019939;-9.1244;1.5081;-3.1352;
1184022869126866;-9.1292;1.4411;-3.0727;
1184022879219678;-9.1651;1.4530;-3.0105;
1184022889322699;-9.1364;1.4387;-2.8956;
1184022899429939;-9.1675;1.4913;-2.9172;
1184022909538116;-9.1962;1.5129;-3.0559;
1184022919630772;-9.1460;1.5105;-3.1205;
1184022929731605;-9.0646;1.6950;-3.1134;
1184022939837334;-9.0670;1.7189;-3.0966;
1184022949940564;-9.1268;1.8724;-3.1277;
1184022960039626;-9.1220;1.9155;-2.9650;
1184022970140199;-9.1843;1.9657;-2.8932;
1184022980251189;-9.1819;1.9968;-2.9387;
1184022990342959;-9.0311;2.0710;-3.1519;
1184023000440668;-8.9758;2.1694;-3.2836;
1184023010547126;-9.0359;2.2531;-3.3123;
1184023020645876;-9.1173;2.2795;-3.0368;
1184023030753376;-9.1077;2.3898;-2.7757;
1184023040847439;-9.0885;2.5645;-2.8140;
1184023050968012;-9.0814;2.7084;-2.9530;
1184023061071605;-9.0359;2.7969;-3.1253;
1184023071177647;-8.9973;2.8400;-3.2022;
1184023081273376;-9.0120;2.9264;-3.1950;
1184023091357126;-9.0359;2.9719;-3.0751;
1184023101458064;-9.0096;3.0126;-3.0655;
1184023111565459;-9.0000;3.0317;-3.0272;
1184023121657282;-9.0239;3.0532;-3.0368;
1184023131770355;-9.0263;3.0676;-3.0727;
1184023141865147;-9.0479;3.0580;-3.0416;
1184023151967126;-9.0455;2.9982;-3.1062;
1184023162070616;-8.9925;2.9838;-3.2764;
1184023172168064;-8.9782;2.8953;-3.1735;
1184023182282022;-9.0407;2.7778;-3.1807;
