Sensor: bosch_bmp380 Pressure Sensor Non-wakeup
Vendor: Bosch
TimestampPres [ns]; Pres [mBar]
1192312249461964;870.7000;
1192312289455245;870.7062;
1192312329462224;870.7100;
1192312369455245;870.7112;
1192312409432016;870.7050;
1192312449436495;870.7000;
1192312489432537;870.6937;
1192312529430453;870.6862;
1192312569454203;870.6850;
1192312609454412;870.6775;
1192312649454412;870.6750;
1192312689454412;870.6712;
1192312729455453;870.6638;
1192312769458370;870.6625;
1192312809456755;870.6625;
1192312849455453;870.6638;
1192312889457849;870.6638;
1192312929456287;870.6663;
1192312969457849;870.6700;
1192313009459932;870.6750;
1192313049459620;870.6737;
1192313089457537;870.6737;
1192313129452432;870.6775;
1192313169459099;870.6762;
1192313209456287;870.6725;
1192313249458057;870.6687;
1192313289453891;870.6700;
1192313329454932;870.6687;
1192313369440089;870.6725;
1192313409431807;870.6737;
1192313449429672;870.6712;
1192313489435349;870.6737;
1192313529467953;870.6750;
1192313569456495;870.6750;
1192313609455974;870.6750;
1192313649455453;870.6775;
1192313689458839;870.6750;
1192313729454932;870.6725;
1192313769457016;870.6712;
1192313809458578;870.6762;
1192313849460922;870.6712;
1192313889459099;870.6687;
1192313929456495;870.6700;
1192313969458057;870.6725;
1192314009451078;870.6712;
1192314049457016;870.6750;
1192314089458682;870.6762;
1192314129457016;870.6800;
1192314169454932;870.6750;
1192314209456599;870.6737;
1192314249455245;870.6737;
1192314289455453;870.6762;
1192314329430922;870.6775;
1192314369432849;870.6775;
1192314409429412;870.6725;
1192314449429203;870.6812;
1192314489483578;870.6837;
1192314529452328;870.6787;
1192314569454412;870.6787;
1192314609452120;870.6775;
1192314649452589;870.6787;
1192314689455245;870.6862;
1192314729452589;870.6800;
1192314769457016;870.6812;
1192314809459099;870.6862;
1192314849457537;870.6950;
1192314889459932;870.6950;
1192314929459932;870.6850;
1192314969460453;870.6887;
1192315009459620;870.6850;
1192315049457328;870.6837;
1192315089457016;870.6825;
1192315129449516;870.6800;
1192315169460141;870.6762;
1192315209463005;870.6762;
1192315249454672;870.6775;
1192315289428995;870.6850;
1192315329440662;870.6850;
1192315369442328;870.6837;
1192315409430297;870.6875;
1192315449428266;870.6850;
1192315489436807;870.6825;
1192315529454932;870.6812;
1192315569456287;870.6762;
1192315609454672;870.6725;
1192315649454672;870.6800;
1192315689455766;870.6750;
1192315729455766;870.6762;
1192315769455453;870.6750;
1192315809459620;870.6775;
1192315849457328;870.6775;
1192315889459412;870.6850;
1192315929462745;870.6812;
1192315969455453;870.6775;
1192316009464099;870.6787;
1192316049459412;870.6850;
1192316089464412;870.6837;
1192316129455453;870.6812;
1192316169457120;870.6825;
1192316209459412;870.6887;
1192316249430037;870.6862;
1192316289432745;870.6800;
1192316329429412;870.6862;
1192316369429255;870.6837;
1192316409440453;870.6750;
1192316449455453;870.6700;
1192316489481599;870.6675;
1192316529458839;870.6700;
1192316569456287;870.6712;
1192316609457328;870.6725;
1192316649456287;870.6712;
1192316689454932;870.6687;
1192316729459412;870.6762;
1192316769458109;870.6812;
1192316809460662;870.6787;
1192316849458370;870.6687;
1192316889462537;870.6613;
1192316929460141;870.6575;
1192316969455974;870.6613;
1192317009460141;870.6613;
1192317049456755;870.6700;
1192317089462224;870.6700;
1192317129453943;870.6700;
1192317169455766;870.6712;
1192317209449516;870.6700;
1192317249431287;870.6775;
1192317289430766;870.6712;
1192317329433839;870.6725;
1192317369428682;870.6750;
1192317409453370;870.6762;
1192317449454932;870.6837;
1192317489476182;870.6850;
1192317529455974;870.6900;
1192317569454932;870.6825;
1192317609454932;870.6775;
1192317649453891;870.6825;
1192317689458578;870.6750;
1192317729455766;870.6787;
1192317769457849;870.6725;
1192317809459620;870.6737;
1192317849455453;870.6700;
1192317889455766;870.6725;
1192317929457537;870.6775;
1192317969457328;870.6775;
1192318009455974;870.6737;
1192318049454724;870.6725;
1192318089462537;870.6762;
1192318129455245;870.6750;
1192318169455453;870.6775;
1192318209430453;870.6887;
1192318249431182;870.6887;
1192318289428839;870.6875;
1192318329428162;870.6937;
1192318369457328;870.6962;
1192318409454932;870.6900;
1192318449457016;870.6887;
1192318489475870;870.6887;
1192318529453162;870.6850;
1192318569453995;870.6775;
1192318609455453;870.6825;
1192318649455245;870.6875;
1192318689458370;870.6850;
1192318729455245;870.6862;
1192318769453682;870.6862;
1192318809456495;870.6937;
1192318849457016;870.6937;
1192318889457849;870.6975;
1192318929458839;870.6912;
1192318969460662;870.6875;
1192319009459412;870.6862;
1192319049458370;870.6862;
1192319089431339;870.6837;
1192319129453370;870.6825;
1192319169426078;870.6862;
1192319209434932;870.6887;
1192319249431703;870.6912;
1192319289432224;870.6875;
1192319329457328;870.6862;
1192319369452120;870.6900;
1192319409453995;870.6887;
1192319449456755;870.6850;
1192319489462120;870.6875;
1192319529459412;870.6937;
1192319569454672;870.6975;
1192319609458578;870.6925;
1192319649456755;870.6937;
1192319689455245;870.6900;
1192319729455766;870.6912;
1192319769456287;870.6875;
1192319809460922;870.6837;
1192319849456755;870.6862;
1192319889459620;870.6862;
1192319929463266;870.6900;
1192319969456495;870.6887;
1192320009459932;870.6862;
1192320049458578;870.6850;
1192320089460141;870.6850;
1192320129439203;870.6825;
1192320169429724;870.6812;
1192320209430349;870.6837;
1192320249436912;870.6837;
1192320289455245;870.6850;
1192320329479203;870.6787;
1192320369455453;870.6787;
1192320409454672;870.6762;
1192320449454932;870.6700;
1192320489453266;870.6650;
1192320529455245;870.6650;
1192320569454932;870.6638;
1192320609460453;870.6725;
1192320649459412;870.6762;
1192320689458370;870.6800;
1192320729459412;870.6862;
1192320769455974;870.6887;
1192320809463578;870.6837;
1192320849461703;870.6862;
1192320889457849;870.6887;
1192320929458057;870.6875;
1192320969460662;870.6837;
