Sensor: OnePlus Fusion Light Sensor
Vendor: OnePlus
TimestampLight [ns]; Light [lux]
1792602072280155;1512.0000;
1792602205589686;1512.0000;
1792602272281561;1514.0000;
1792602405613228;1515.0000;
1792602472280311;1518.0000;
1792602605610103;1407.0000;
1792602672282707;903.0000;
1792602805608436;1408.0000;
1792602872253332;1456.0000;
1792603005606978;1569.0000;
1792603138941978;1630.0000;
1792603205581873;1611.0000;
1792603338937082;1543.0000;
1792603405603280;1514.0000;
1792603538908332;1512.0000;
1792603605598228;1490.0000;
1792603738930936;1484.0000;
1792603805598436;1478.0000;
1792603938932290;1480.0000;
1792604005596769;1447.0000;
1792604138927915;1430.0000;
1792604205568644;1414.0000;
1792604338923228;1390.0000;
1792604472257030;1370.0000;
1792604538897863;1351.0000;
1792604672255311;1330.0000;
1792604738923644;1303.0000;
1792604872228123;1278.0000;
1792604938921613;1253.0000;
1792605072252082;1204.0000;
1792605138916457;1127.0000;
1792605272249165;1088.0000;
1792605338917603;1084.0000;
1792605472246665;1100.0000;
1792605538888644;1170.0000;
1792605672245207;1245.0000;
1792605805571665;1234.0000;
1792605872218644;1213.0000;
1792606005575103;1162.0000;
1792606072240780;1151.0000;
1792606205546665;1132.0000;
1792606272238540;1147.0000;
1792606405569790;1128.0000;
1792606472234686;1039.0000;
1792606605569478;929.0000;
1792606672235519;929.0000;
1792606805573019;952.0000;
1792606872210207;988.0000;
1792607005568540;954.0000;
1792607138901040;901.0000;
1792607205540207;352.0000;
1792607338899582;293.0000;
1792607405563019;337.0000;
1792607538866457;838.0000;
1792607605561196;985.0000;
1792607738898644;1043.0000;
1792607805563123;1036.0000;
1792607938900728;1044.0000;
1792608005560103;994.0000;
1792608138888123;951.0000;
1792608205528436;968.0000;
1792608338889478;831.0000;
1792608472215936;316.0000;
1792608538871457;257.0000;
1792608672211353;243.0000;
1792608738890311;242.0000;
1792608872222811;248.0000;
1792608938888280;268.0000;
1792609072213540;283.0000;
1792609138880519;300.0000;
1792609272210103;312.0000;
1792609338871248;291.0000;
1792609472206873;287.0000;
1792609538885519;298.0000;
1792609672203696;312.0000;
1792609805542186;308.0000;
1792609872204582;297.0000;
1792610005536873;289.0000;
1792610072200207;289.0000;
1792610205535103;295.0000;
1792610272200311;305.0000;
1792610405535936;325.0000;
1792610472202394;334.0000;
1792610605531978;337.0000;
1792610672195936;337.0000;
1792610805529269;339.0000;
1792610872193436;336.0000;
1792611005501457;336.0000;
1792611072190832;327.0000;
1792611205519165;319.0000;
1792611338857186;309.0000;
1792611405523123;327.0000;
1792611538854061;339.0000;
1792611605520311;347.0000;
1792611738854946;348.0000;
1792611805520623;359.0000;
1792611938854894;361.0000;
1792612005489582;356.0000;
1792612138849269;349.0000;
1792612205514686;344.0000;
1792612338826248;338.0000;
1792612405509373;341.0000;
1792612538846248;347.0000;
1792612672151769;354.0000;
1792612738844478;354.0000;
1792612872173853;343.0000;
1792612938846144;332.0000;
1792613072170311;332.0000;
1792613138839686;332.0000;
1792613272170519;323.0000;
1792613338822603;320.0000;
1792613472170623;330.0000;
1792613538831144;341.0000;
1792613672141873;355.0000;
1792613738833853;360.0000;
1792613872190311;363.0000;
1792614005471144;364.0000;
1792614072159790;361.0000;
1792614205492082;359.0000;
1792614272154998;355.0000;
1792614405488853;350.0000;
1792614472158644;348.0000;
1792614605490623;346.0000;
1792614672130311;345.0000;
1792614805487603;341.0000;
1792614872156613;337.0000;
1792615005458019;343.0000;
1792615072153332;352.0000;
1792615205489478;362.0000;
1792615338798436;367.0000;
1792615405480623;375.0000;
1792615538820415;381.0000;
1792615605477082;387.0000;
1792615738814582;391.0000;
1792615805480780;394.0000;
1792615938816353;393.0000;
1792616005449373;384.0000;
1792616138808644;377.0000;
1792616205472290;373.0000;
1792616338786873;373.0000;
1792616405469790;384.0000;
1792616538803540;399.0000;
1792616672108228;396.0000;
1792616738805623;394.0000;
1792616872134269;396.0000;
1792616938806769;386.0000;
1792617072128644;373.0000;
1792617138804165;373.0000;
1792617272132811;376.0000;
1792617338772603;379.0000;
1792617472127394;384.0000;
1792617538792811;390.0000;
1792617672099790;391.0000;
1792617738791873;394.0000;
1792617872121561;395.0000;
1792618005428748;387.0000;
1792618072122030;377.0000;
1792618205442915;365.0000;
1792618272116769;361.0000;
1792618405453644;367.0000;
1792618472120363;375.0000;
1792618605454165;386.0000;
1792618672101040;404.0000;
1792618805459686;420.0000;
1792618872114478;418.0000;
1792619005417394;407.0000;
1792619072109373;399.0000;
1792619205444946;389.0000;
1792619272103123;386.0000;
1792619405440311;381.0000;
1792619538773332;372.0000;
1792619605440103;365.0000;
1792619738773696;356.0000;
1792619805432290;349.0000;
1792619938775207;346.0000;
