TimestampGNSS [ns]; UTC time [ms]; Lat [deg]; Lon [deg]; Height [m]; Speed [m/s]; Heading [deg]; Hor Acc [m]; Vert Acc [m]; Speed Acc [m/s]; Heading Acc [deg]
989588347349958;1638918449449;40.225889900000;-111.638618060000;1376.2441;0.6600;15.1000;7.15118742;10.31490517;0.04472136;2.34706473;
989589399996780;1638918451000;40.225903510000;-111.638624700000;1376.2948;1.6500;15.1000;3.79009247;4.88891268;0.82680106;14.37267494;
989590392864540;1638918452000;40.225922530000;-111.638620360000;1377.4120;2.7200;13.0000;3.79009247;3.59704328;0.82680106;16.64495277;
989591395566415;1638918453000;40.225955870000;-111.638614070000;1378.7859;4.3400;8.6000;3.79009247;3.22253752;0.05830952;0.47845730;
989592395386258;1638918454000;40.225997660000;-111.638609570000;1378.7527;4.8000;4.7000;3.79009247;2.83005381;0.05000000;0.40477538;
989593401177925;1638918455000;40.226041520000;-111.638605540000;1377.9076;5.5000;5.5000;3.79009247;2.60550594;0.04472136;0.34060335;
989594397737351;1638918456000;40.226093540000;-111.638596020000;1378.0481;5.9200;7.8000;3.79009247;2.50000000;0.20808652;1.39315104;
989595400087247;1638918457000;40.226148510000;-111.638587620000;1378.9462;6.2200;5.9000;3.79009247;2.50000000;0.32802439;2.09064913;
989596396808705;1638918458000;40.226204770000;-111.638571450000;1379.4949;6.7700;9.4000;3.79009247;2.50000000;0.17204651;1.00520420;
989597393176100;1638918459000;40.226268170000;-111.638563750000;1379.3833;7.1100;6.9000;3.79009247;2.50000000;0.05000000;0.31267121;
989598390946100;1638918460000;40.226334440000;-111.638551920000;1379.9774;7.3400;10.6000;3.79009247;2.50000000;0.15000001;0.79924810;
989599389168860;1638918461000;40.226400830000;-111.638535100000;1380.5155;7.8100;10.9000;3.79009247;2.50000000;0.33421549;1.79142034;
989600387923651;1638918462000;40.226467400000;-111.638519060000;1380.7758;7.7400;11.5000;3.79009247;2.50000000;0.28425342;1.57604086;
989601399327036;1638918463000;40.226536940000;-111.638499890000;1380.9983;7.7600;11.9000;3.79009247;2.50000000;0.66030294;4.56383657;
989602389399380;1638918464000;40.226608510000;-111.638479170000;1381.2601;7.9900;11.7000;3.79009247;2.50000000;0.79812282;5.12980223;
989603402964692;1638918465000;40.226675600000;-111.638469300000;1381.6239;7.7500;11.1000;3.79009247;2.50000000;0.23600848;1.23525298;
989604393079795;1638918466000;40.226744220000;-111.638448570000;1381.7037;7.7900;12.3000;3.79009247;2.50000000;0.05000000;0.24733561;
989605394108337;1638918467000;40.226811280000;-111.638431350000;1382.4070;7.6900;13.2000;3.79009247;2.50000000;0.20000000;1.08282232;
989606400476253;1638918468000;40.226881910000;-111.638414270000;1381.7383;7.7200;8.2000;3.79009247;2.50000000;0.37802115;1.94197130;
989607401432346;1638918469000;40.226951030000;-111.638398140000;1381.9760;7.7700;8.6000;3.79009247;2.50000000;0.32202485;1.62637925;
989608400723075;1638918470000;40.227023370000;-111.638378130000;1381.7701;8.0500;11.1000;3.79009247;2.50000000;1.10453606;7.61331892;
989609399258804;1638918471000;40.227090840000;-111.638355500000;1381.4954;7.8200;10.5000;3.79009247;2.50000000;1.43125820;8.71463299;
989610399645626;1638918472000;40.227151580000;-111.638340490000;1381.2179;7.4000;10.6000;3.79009247;2.50000000;1.10453606;8.24731064;
989611399053334;1638918473000;40.227207920000;-111.638324520000;1381.5980;6.9400;11.5000;3.79009247;2.50000000;1.07703292;8.64726543;
989612401118178;1638918474000;40.227264560000;-111.638307880000;1381.7893;6.0100;8.1000;3.79009247;2.50000000;1.08558738;9.88465786;
989613405507709;1638918475000;40.227305080000;-111.638297290000;1381.6791;4.4500;9.1000;3.79009247;2.50000000;1.09416640;11.47589684;
989614403652031;1638918476000;40.227329160000;-111.638291780000;1381.3236;3.0300;14.2000;3.79009247;2.50000000;0.96260065;13.15744209;
989615401879791;1638918477000;40.227356860000;-111.638281280000;1381.3551;2.9900;11.5000;3.79009247;2.50000000;1.22674370;15.84777355;
989616401902291;1638918478000;40.227385460000;-111.638264370000;1382.2722;3.2200;19.2000;3.79009247;2.73549509;1.11830223;17.95835686;
989617400651718;1638918479000;40.227427680000;-111.638254070000;1382.1962;4.2200;8.0000;3.79009247;2.66498899;0.81835198;10.69429302;
989618400806092;1638918480000;40.227474140000;-111.638247650000;1382.5387;5.0900;12.0000;3.79009247;2.56744933;1.08558738;10.99188137;
989619399270363;1638918481000;40.227524470000;-111.638240090000;1382.3644;5.7900;20.4000;3.79009247;2.50000000;1.12680960;10.71311283;
989620399777341;1638918482000;40.227580190000;-111.638221610000;1382.9026;6.2900;13.1000;3.79009247;2.50000000;1.09931803;9.71897507;
989621395148122;1638918483000;40.227632630000;-111.638205590000;1383.4163;6.1700;17.0000;3.79009247;2.50000000;1.43589687;9.78222847;
989622389028174;1638918484000;40.227688700000;-111.638190820000;1382.9507;6.1900;11.6000;3.79009247;2.50000000;1.23490894;8.74878788;
989623403319788;1638918485000;40.227758510000;-111.638177800000;1382.6982;7.1800;9.9000;3.79009247;2.50000000;1.08226609;7.37914515;
989624400733225;1638918486000;40.227831400000;-111.638159730000;1382.6631;7.4400;9.2000;3.79009247;2.50000000;1.42705989;7.24194956;
989625400808433;1638918487000;40.227897190000;-111.638149560000;1382.7183;7.3900;12.2000;3.79009247;2.50000000;1.11305881;6.81619549;
989626399255672;1638918488000;40.227963500000;-111.638128330000;1382.6563;7.3700;19.5000;3.79009247;2.50000000;1.19037807;6.57182550;
989627401397547;1638918489000;40.228033050000;-111.638092950000;1382.6287;7.8800;22.1000;3.79009247;2.50000000;1.26909411;6.45003223;
989628406176088;1638918490000;40.228093940000;-111.638057330000;1383.2544;7.9900;23.3000;3.79009247;2.50000000;1.10453606;5.93946791;
989629401763692;1638918491000;40.228154500000;-111.638014860000;1383.1964;7.8000;32.0000;3.79009247;2.50000000;1.07703292;5.79474783;
989630398341452;1638918492000;40.228214090000;-111.637963890000;1383.5121;7.7300;44.1000;3.79009247;2.50000000;1.10788083;5.89105892;
989631401173535;1638918493000;40.228257800000;-111.637896550000;1384.2141;7.5300;64.6000;3.79009247;2.50000000;1.16284132;6.06652975;
989632396037910;1638918494000;40.228272790000;-111.637814280000;1383.4305;7.2300;84.3000;3.79009247;2.50000000;1.09416640;6.06550264;
989633395827597;1638918495000;40.228272110000;-111.637725300000;1383.1531;7.2200;88.6000;3.79009247;2.50000000;1.07703292;5.79172802;
989634395277649;1638918496000;40.228270190000;-111.637638700000;1383.2190;7.1100;93.4000;3.79009247;2.50000000;1.09293187;5.64030647;
989635400633013;1638918497000;40.228267330000;-111.637557130000;1383.6455;7.1100;92.5000;3.79009247;2.50000000;1.06850362;5.38191986;
989636399911398;1638918498000;40.228264680000;-111.637474000000;1383.6964;6.9500;90.4000;3.79009247;2.50000000;1.12361026;5.25909376;
989637388097908;1638918499000;40.228268450000;-111.637391220000;1383.7520;6.9000;87.6000;3.79009247;2.50000000;1.13441610;5.12514162;
989638392153637;1638918500000;40.228269700000;-111.637301780000;1384.8623;7.0400;91.0000;3.79009247;2.50000000;1.06850362;4.97396088;
989639392533324;1638918501000;40.228267560000;-111.637215980000;1384.9543;6.9300;89.9000;3.79009247;2.50000000;1.08226609;4.81835127;
989640395750875;1638918502000;40.228268350000;-111.637137300000;1384.9686;7.0600;90.8000;3.79009247;2.50000000;1.06850362;4.69867945;
989641398640302;1638918503000;40.228270180000;-111.637057520000;1385.2203;6.9900;90.6000;3.79009247;2.50000000;1.08226609;4.59231901;
989642390792333;1638918504000;40.228266930000;-111.636977020000;1385.3748;6.8600;93.7000;3.79009247;2.50000000;1.06850362;4.54355955;
989643391525874;1638918505000;40.228266890000;-111.636906500000;1385.1399;6.3400;89.7000;3.79009247;2.50000000;1.36952543;4.62452078;
989644401472384;1638918506000;40.228268100000;-111.636823500000;1385.6740;6.8400;87.2000;3.79009247;2.50000000;1.12361026;4.49486446;
989645387557436;1638918507000;40.228268880000;-111.636735460000;1385.9386;6.5700;90.9000;3.79009247;2.50000000;1.10453606;4.46265078;
989646382599779;1638918508000;40.228265570000;-111.636653150000;1386.5228;6.6000;93.1000;3.79009247;2.50000000;1.40943253;4.49967766;
989647403440925;1638918509000;40.228266780000;-111.636575550000;1386.1909;6.3700;90.6000;3.79009247;2.57705927;1.17345643;4.43781614;
989648393937852;1638918510000;40.228268370000;-111.636492950000;1386.3663;6.7400;86.4000;3.79009247;2.57925391;1.09603834;4.35708094;
989649399483789;1638918511000;40.228276690000;-111.636413640000;1386.3542;6.8100;75.6000;3.79009247;2.50000000;1.08558738;4.37761450;
989650391330507;1638918512000;40.228301310000;-111.636342660000;1387.0237;6.7400;56.6000;3.79009247;2.50000000;1.09931803;4.42197990;
989651395386132;1638918513000;40.228346620000;-111.636292530000;1386.9728;6.8500;38.8000;3.79009247;2.50000000;1.08558738;4.44725513;
