Sensor: mmc5603x Magnetometer Non-wakeup
Vendor: memsic
TimestampMag [ns]; MagX [uT]; MagY [uT]; MagZ [uT]
2025246398967;49.1660;-3.3794;7.1858;
2025256398967;49.1660;-3.3794;7.1858;
2025267788863;49.1294;-3.3550;7.4420;
2025277788863;49.0684;-3.4038;7.5030;
2025287788863;49.1660;-3.3550;7.5152;
2025297788863;49.3002;-3.3550;7.4420;
2025307788863;49.3002;-3.3916;7.3932;
2025317788863;49.4100;-3.3672;7.2956;
2025327788863;49.4710;-3.3550;7.2712;
2025337788863;49.4710;-3.3672;7.3322;
2025347788863;49.4344;-3.3794;7.3444;
2025357788863;49.3612;-3.3550;7.4786;
2025367788863;49.3002;-3.3794;7.4298;
2025377788863;49.1538;-3.3916;7.6006;
2025387788863;49.1538;-3.3794;7.6738;
2025397788863;48.9952;-3.3794;7.8690;
2025407788863;48.8000;-3.3916;8.0642;
2025417788863;48.8366;-3.4282;8.1008;
2025427788863;48.8122;-3.4892;8.0520;
2025437788863;48.7634;-3.5014;7.9300;
2025447788863;48.5438;-3.5258;8.1984;
2025457788863;48.2754;-3.5746;8.4546;
2025467788863;48.0314;-3.6112;8.6010;
2025477788863;47.7752;-3.6722;8.8328;
2025487788863;47.6532;-3.7088;9.0768;
2025497788863;47.4580;-3.7088;9.3086;
2025507788863;47.6166;-3.7210;9.2598;
2025517788863;47.8606;-3.7942;9.2110;
2025527788863;48.1778;-3.8064;8.9060;
2025537788863;48.5316;-3.7698;8.5522;
2025547788863;48.8366;-3.7088;8.3570;
2025557788863;49.1660;-3.6844;8.0398;
2025567788863;49.4832;-3.6478;7.6982;
2025577788863;49.7272;-3.6234;7.4176;
2025587788863;49.6784;-3.6234;7.5518;
2025597788863;49.6662;-3.5990;7.5884;
2025607788863;49.7272;-3.5746;7.6128;
2025617788863;49.9346;-3.5868;7.3932;
2025627788863;49.9712;-3.6356;7.3688;
2025637788863;50.0078;-3.6356;7.3810;
2025647788863;50.0810;-3.6478;7.2834;
2025657788863;50.1664;-3.6844;7.1492;
2025667788863;50.3982;-3.7088;6.8930;
2025677788863;50.5568;-3.7088;6.7222;
2025687788863;50.5202;-3.7820;6.7954;
2025697788863;50.4592;-3.8674;6.9052;
2025707788863;50.5202;-3.9284;6.8442;
2025717788863;50.6788;-4.0260;6.7222;
2025727788863;50.7764;-4.1358;6.6612;
2025737788863;50.8252;-4.1724;6.6246;
2025747788863;50.7886;-4.2456;6.6124;
2025757788863;50.7520;-4.3676;6.6734;
2025767788863;50.8862;-4.3676;6.4904;
2025777788863;50.9472;-4.4530;6.4660;
2025787788863;50.8618;-4.5628;6.6002;
2025797788863;50.7886;-4.6238;6.7466;
2025807788863;50.7032;-4.6848;6.7954;
2025817788863;50.5568;-4.7946;7.0150;
2025827788863;50.5080;-4.8312;7.2346;
2025837788863;50.5934;-4.8434;7.2468;
2025847788863;50.5690;-5.0020;7.3444;
2025857788863;50.6178;-5.0142;7.3688;
2025867788863;50.7886;-5.0142;7.2590;
2025877788863;50.8740;-5.0752;7.1248;
2025887788863;50.9838;-5.1484;7.1370;
2025897788863;51.0814;-5.2216;7.0150;
2025907788863;51.0936;-5.3436;6.9906;
2025917788863;50.9106;-5.4656;7.1980;
2025927788863;50.8374;-5.5266;7.2712;
2025937788863;50.7154;-5.6730;7.3932;
2025947788863;50.6178;-5.7828;7.4664;
2025957788863;50.4836;-5.8926;7.7104;
2025967788863;50.3616;-5.9780;7.8812;
2025977788863;50.3616;-6.0756;7.9788;
2025987788863;50.3860;-6.1854;7.9056;
2025997788863;50.5080;-6.2098;7.7592;
2026007788863;50.5812;-6.2586;7.7592;
2026017788863;50.6910;-6.2708;7.6738;
2026027788863;50.7032;-6.3196;7.7104;
2026037788863;50.7886;-6.3684;7.6494;
2026047788863;50.8618;-6.4294;7.5884;
2026057788863;50.8496;-6.5148;7.5762;
2026067788863;50.7398;-6.5758;7.8202;
2026077788863;50.6910;-6.6124;7.9300;
2026087788863;50.4958;-6.7344;8.1618;
2026097788863;50.3494;-6.8320;8.4424;
2026107788863;50.3860;-6.8930;8.5888;
2026117788863;50.4592;-6.9906;8.6132;
2026127788863;50.4592;-7.0516;8.7108;
2026137788863;50.4836;-7.0516;8.8328;
2026147788863;50.4470;-7.1004;8.8816;
2026157788863;50.3860;-7.1736;9.0646;
2026167788863;50.6422;-7.1614;8.8328;
2026177788863;50.7520;-7.2102;8.6742;
2026187788863;50.7764;-7.2712;8.5400;
2026197788863;50.8008;-7.2956;8.4912;
2026207788863;50.9106;-7.3200;8.4058;
2026217788863;51.0204;-7.3688;8.3814;
2026227788863;51.1546;-7.3810;8.3204;
2026237788863;51.2766;-7.4542;8.2350;
2026247788863;51.2278;-7.5396;8.3082;
2026257788863;51.2278;-7.5396;8.3448;
2026267788863;51.2400;-7.5274;8.3936;
