Sensor: bmi160 Gyroscope Non-wakeup
Vendor: BOSCH
TimestampGyro [ns]; GyroX [rad/s]; GyroY [rad/s]; GyroZ [rad/s]
83886407473726;-0.1715;-0.1356;0.0594;
83886417582059;-0.1779;-0.1345;0.0573;
83886427692997;-0.1758;-0.1164;0.0679;
83886437778465;-0.1736;-0.1206;0.0700;
83886447881070;-0.1044;-0.1036;0.0859;
83886457994559;0.1342;-0.0015;0.1200;
83886468091174;0.3961;0.1104;0.1573;
83886478220601;0.5559;0.1722;0.1594;
83886488303205;0.5751;0.2126;0.1509;
83886498394976;0.3686;0.1818;0.1455;
83886508504872;-0.0586;0.0358;0.1285;
83886518641486;-0.3578;-0.1228;0.1232;
83886528731851;-0.2099;-0.1260;0.1423;
83886538853257;-0.1555;-0.0876;0.1445;
83886548949038;-0.2236;-0.1270;0.1274;
83886559048674;-0.1566;-0.1174;0.1423;
83886569179715;0.0352;-0.0132;0.1530;
83886579259038;0.2407;0.0763;0.1668;
83886589368205;0.2482;0.0869;0.1732;
83886599451643;0.1087;0.0603;0.1679;
83886609572268;-0.0224;0.0614;0.1306;
83886619676018;-0.1672;0.0411;0.1051;
83886629780809;-0.2971;-0.0493;0.1051;
83886639887632;-0.2067;-0.0929;0.1434;
83886649984872;-0.1310;-0.0652;0.1786;
83886660100965;0.0437;0.0305;0.1775;
83886670205757;0.1960;0.1040;0.1658;
83886680317372;0.1630;0.0869;0.1455;
83886690421955;0.0426;0.0465;0.1210;
83886700525913;-0.0948;0.0145;0.1157;
83886710616538;-0.2300;-0.0302;0.1264;
83886720732580;-0.2077;-0.0387;0.1210;
83886730837528;-0.1704;-0.0025;0.1072;
83886740945705;-0.1577;0.0539;0.0923;
83886751059247;-0.1971;0.0646;0.0880;
83886761160705;-0.2555;-0.0238;0.0880;
83886771267788;-0.1885;-0.0684;0.0997;
83886781367007;-0.1204;0.0060;0.0965;
83886791476955;0.0064;0.1200;0.0806;
83886801577580;0.0586;0.1296;0.0827;
83886811684663;-0.0447;0.0539;0.0838;
83886821777788;-0.1278;0.0401;0.0774;
83886831896538;-0.1758;0.0358;0.0615;
83886842014038;-0.2003;0.0071;0.0370;
83886852110601;-0.1758;0.0092;0.0328;
83886862220861;-0.1928;-0.0228;0.0445;
83886872318934;-0.1609;-0.0451;0.0466;
83886882429351;-0.1363;0.0230;0.0178;
83886892534507;-0.1854;0.1093;0.0146;
83886902644195;-0.1726;0.1455;-0.0397;
83886912744768;-0.2257;0.0987;-0.0184;
83886922861122;-0.1790;0.0997;0.0093;
83886932944768;-0.1672;0.0859;0.0019;
83886943066278;-0.1907;-0.0132;-0.0109;
83886953164507;-0.1555;-0.0748;-0.0130;
83886963295601;-0.1246;-0.0249;-0.0162;
83886973394038;-0.0511;0.0635;-0.0290;
83886983502268;0.0160;0.1242;-0.0461;
83886993597268;0.0437;0.1700;-0.0663;
83887003708934;0.0277;0.2137;-0.0812;
83887013802268;-0.1683;0.1370;-0.0823;
83887023930757;-0.2513;-0.0482;-0.0365;
83887034018518;-0.1055;-0.0503;0.0029;
83887044134559;-0.1087;0.0422;-0.0109;
83887054231747;-0.1747;0.0007;-0.0397;
83887064298778;-0.1385;-0.0727;-0.0386;
83887074439976;-0.1225;-0.0844;-0.0493;
83887084540340;-0.1822;-0.0727;-0.0855;
83887094648101;-0.2130;-0.1153;-0.0748;
83887104756434;-0.1427;-0.1718;-0.0258;
83887114862268;-0.0064;-0.0324;0.0370;
83887124985705;0.3324;0.2276;0.0573;
83887135066122;0.4473;0.2787;0.0530;
83887145179247;0.1161;0.1477;0.0178;
83887155277372;-0.1917;0.0646;0.0264;
83887165382476;-0.2088;0.0486;0.0413;
83887175489507;-0.1790;0.0017;0.0360;
83887185589872;-0.1363;-0.0493;0.0711;
83887195703726;0.0021;-0.0142;0.0891;
83887205813674;0.2407;0.0656;0.1104;
83887215906486;0.3771;0.0880;0.1157;
83887226029976;0.3654;0.0624;0.1157;
83887236126851;0.2152;-0.0089;0.1083;
83887246237997;-0.0085;-0.0706;0.1157;
83887256326018;-0.1747;-0.0706;0.0976;
83887266443726;-0.1534;-0.0270;0.0838;
83887276546122;-0.1257;-0.0185;0.0626;
83887286649872;-0.1150;-0.0482;0.0583;
83887296760288;-0.0980;-0.0164;0.0434;
83887306867372;-0.1427;0.0060;0.0274;
83887316984768;-0.2651;-0.0812;0.0157;
83887327069820;-0.6624;-0.1803;-0.0109;
83887337187111;-1.0437;-0.1750;-0.0269;
